Date Time,Day of Week,Street Name Cleaned,Cross Street Cleaned,Intersection_ID,Latitude,Longitude,Manner of Collision,First Harmful Event,Weather Condition 1,Weather Condition 2,Ambient Light,Road Surface Condition,Traffic Control Device Type,Traffic Control Device Functionality,Roadway Junction Type,Trafficway Description,Speed Limit,Object 1,Object 2,P1 Injury,P2 Injury,P1 Age,P2 Age,P1 Sex,P2 Sex,May involve cyclist,May Involve Pedestrian,P1 Non Motorist Desc,P2 Non Motorist Desc,Year,Month,Day,Hour,Day_of_Week_Num,Is_Weekend,Is_Rush_Hour,Season
2025-08-24 10:40:00,Sunday,MASSACHUSETTS AVENUE,BEECH STREET,BEECH STREET_AND_MASSACHUSETTS AVENUE,42.369333,-71.11075,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,TRAFFIC CONTROL SIGNAL                            ,YES                                               ,T-INTERSECTION                                    ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",25 ,OTHER                                             ,PASSENGER CAR                                     ,SUSPECTED MINOR INJURY                            ,,,,FEMALE                                            ,,1.0,,,,2025,8,24,10,6,True,False,Summer
2025-08-22 16:00:00,Friday,MASSACHUSETTS AVENUE,STATE STREET,MASSACHUSETTS AVENUE_AND_STATE STREET,42.369333,-71.11075,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,CLEAR                                             ,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,T-INTERSECTION                                    ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,NO APPARENT INJURY                                ,63.0,,MALE                                              ,MALE                                              ,1.0,,,BICYCLIST                                         ,2025,8,22,16,4,False,True,Summer
2025-08-16 11:55:00,Saturday,MASSACHUSETTS AVENUE,LANDSDOWNE STREET,LANDSDOWNE STREET_AND_MASSACHUSETTS AVENUE,42.369333,-71.11075,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,TRAFFIC CONTROL SIGNAL                            ,YES                                               ,T-INTERSECTION                                    ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,NO APPARENT INJURY                                ,64.0,,MALE                                              ,MALE                                              ,1.0,,,,2025,8,16,11,5,True,False,Summer
2025-08-15 21:51:00,Friday,MASSACHUSETTS AVENUE,,MASSACHUSETTS AVENUE,42.37544081818183,-71.11253827272726,SINGLE VEHICLE CRASH                              ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,CLEAR                                             ,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,NO APPARENT INJURY                                ,34.0,28.0,MALE                                              ,FEMALE                                            ,1.0,,,,2025,8,15,21,4,False,False,Summer
2025-08-11 15:30:00,Monday,QUINCY ST,,QUINCY ST,42.37267,-71.11503,SINGLE VEHICLE CRASH                              ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,WARNING SIGNS                                     ,YES                                               ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ",20 ,PASSENGER CAR                                     ,,SUSPECTED MINOR INJURY                            ,,28.0,,MALE                                              ,,1.0,,,,2025,8,11,15,0,False,False,Summer
2025-07-26 15:06:00,Saturday,MASSACHUSETTS AVENUE,MT. VERNON ST,MASSACHUSETTS AVENUE_AND_MT. VERNON ST,42.369333,-71.11075,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,CLEAR                                             ,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,T-INTERSECTION                                    ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN              ",MA ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,NO APPARENT INJURY                                ,,,MALE                                              ,MALE                                              ,1.0,,,BICYCLIST                                         ,2025,7,26,15,5,True,False,Summer
2025-07-23 14:44:00,Wednesday,JFK STREET,,JFK STREET,42.37286,-71.11992,REAR-END                                          ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,YES                                               ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,,NO APPARENT INJURY                                ,,,MALE                                              ,MALE                                              ,1.0,,,BICYCLIST                                         ,2025,7,23,14,2,False,False,Summer
2025-07-14 11:03:00,Monday,MASSACHUSETTS AVENUE,,MASSACHUSETTS AVENUE,42.36318,-71.09995,"SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,CLEAR                                             ,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,YES                                               ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,NO APPARENT INJURY                                ,50.0,33.0,FEMALE                                            ,MALE                                              ,1.0,,,BICYCLIST                                         ,2025,7,14,11,0,False,False,Summer
2025-06-25 09:50:00,Wednesday,MASSACHUSETTS AVENUE,ALBANY STREET,ALBANY STREET_AND_MASSACHUSETTS AVENUE,42.369333,-71.11075,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,TRAFFIC CONTROL SIGNAL                            ,YES                                               ,FOUR WAY INTERSECTION                             ,"TWO-WAY, NOT DIVIDED                              ",20 ,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,NO APPARENT INJURY                                ,NO APPARENT INJURY                                ,,,MALE                                              ,MALE                                              ,1.0,,BICYCLIST                                         ,,2025,6,25,9,2,False,True,Summer
2025-06-20 08:51:00,Friday,CONCORD AVENUE,,CONCORD AVENUE,42.38916,-71.14463,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,TRAFFIC CONTROL SIGNAL                            ,YES                                               ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,,,,MALE                                              ,FEMALE                                            ,1.0,,,,2025,6,20,8,4,False,True,Summer
2025-06-18 13:05:00,Wednesday,ALEWIFE BROOK PARKWAY,,ALEWIFE BROOK PARKWAY,42.38933,-71.14277,SINGLE VEHICLE CRASH                              ,COLLISION WITH PEDALCYCLE                         ,CLOUDY                                            ,CLOUDY                                            ,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",5  ,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,NO APPARENT INJURY                                ,,,,MALE                                              ,,1.0,,,,2025,6,18,13,2,False,False,Summer
2025-06-17 17:11:00,Tuesday,BROADWAY,,BROADWAY,42.36314,-71.08564,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,"SLEET, HAIL, FREEZING RAIN OR DRIZZLE             ",,DAYLIGHT                                          ,WET                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ",25 ,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,NO APPARENT INJURY                                ,NO APPARENT INJURY                                ,,,MALE                                              ,MALE                                              ,1.0,,,BICYCLIST                                         ,2025,6,17,17,1,False,True,Summer
2025-06-12 15:29:00,Thursday,MASSACHUSETTS AVENUE,ALBANY STREET,ALBANY STREET_AND_MASSACHUSETTS AVENUE,42.369333,-71.11075,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,TRAFFIC CONTROL SIGNAL                            ,YES                                               ,FOUR WAY INTERSECTION                             ,"TWO-WAY, NOT DIVIDED                              ",25 ,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,NO APPARENT INJURY                                ,,,,MALE                                              ,,1.0,,,,2025,6,12,15,3,False,False,Summer
2025-06-04 13:12:00,Wednesday,SPARKS STREET,,SPARKS STREET,42.37921,-71.13102,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,SUSPECTED MINOR INJURY                            ,,,FEMALE                                            ,FEMALE                                            ,1.0,,,BICYCLIST                                         ,2025,6,4,13,2,False,False,Summer
2025-05-29 18:50:00,Thursday,BRATTLE STREET,,BRATTLE STREET,42.37567,-71.1432,"SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,CLEAR                                             ,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",20 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,SUSPECTED MINOR INJURY                            ,,,MALE                                              ,MALE                                              ,1.0,,,BICYCLIST                                         ,2025,5,29,18,3,False,True,Spring
2025-05-23 13:21:00,Friday,MASSACHUSETTS AVENUE,,MASSACHUSETTS AVENUE,42.35864,-71.0933,"SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",20 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,NO APPARENT INJURY                                ,,,MALE                                              ,FEMALE                                            ,1.0,,,,2025,5,23,13,4,False,False,Spring
2025-05-21 17:33:00,Wednesday,ALBANY STREET,,ALBANY STREET,42.358900000000006,-71.10026666666667,HEAD ON                                           ,COLLISION WITH PEDALCYCLE                         ,CLOUDY                                            ,,DAYLIGHT                                          ,DRY                                               ,STOP SIGNS                                        ,YES                                               ,T-INTERSECTION                                    ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,SUSPECTED MINOR INJURY                            ,,,MALE                                              ,MALE                                              ,1.0,,,BICYCLIST                                         ,2025,5,21,17,2,False,True,Spring
